Date,Name / Description,Expense/Income,Amount (EUR),Category,Transaction
2023-12-30,Belastingdienst,Expense,9.96,Taxes,Belastingdienst
2023-12-30,Tesco Breda,Expense,17.53,Grocery,Tesco Breda
2023-12-30,Monthly Appartment Rent,Expense,451.0,,
2023-12-30,Vishandel Sier Amsterdam,Expense,12.46,Fish/Meat (assuming a fish market),Vishandel Sier Amsterdam
2023-12-29,Selling Paintings,Income,13.63,Business/Income,Selling Paintings
2023-12-29,Spotify Ab By Adyen,Expense,12.19,Entertainment,Spotify Ab By Adyen
2023-12-23,Tk Maxx Amsterdam Da,Expense,27.08,Retail,Tk Maxx Amsterdam Da
2023-12-22,Consulting,Income,541.57,Work,Consulting
2023-12-22,Aidsfonds,Expense,10.7,Charity,Aidsfonds
2023-12-20,Consulting,Income,2641.93,Work,Consulting
2023-12-19,Tls Bv Inz Ov-Chipkaart,Expense,18.9,Transportation (assuming public transportation),Tls Bv Inz Ov-Chipkaart
2023-12-18,Etos Amsterdam,Expense,17.67,Health and Wellness,Etos Amsterdam
2023-12-18,Tesco Breda,Expense,8.809999999999999,Grocery,Tesco Breda
2023-12-18,Beta Boulders Ams Amsterdam,Expense,6.94,Sport and Fitness,Beta Boulders Ams Amsterdam
2022-11-26,Salary,Income,14.36,Income,Salary
2022-11-26,Bouldermuur Bv Amsterdam,Expense,19.27,Business/Investment,Bouldermuur Bv Amsterdam
2022-11-26,Birtat Restaurant Amsterdam,Expense,24.71,,
2022-11-25,Tesco Breda,Expense,17.35,Grocery,Tesco Breda
2022-11-24,Freelancing,Income,2409.55,Work,Freelancing
2022-11-19,Tikkie,Expense,20.76,Personal/Bills (assuming a personal bill management service),Tikkie
2022-10-25,Blogging,Income,4044.27,Business/Income,Blogging
2022-10-24,Taxi Utrecht,Expense,18.9,Transportation,Taxi Utrecht
2022-10-23,Tesco Breda,Expense,27.54,Grocery,Tesco Breda
2022-10-22,Apple Services,Expense,41.25,Technology,Apple Services
2022-10-21,Tesco Breda,Expense,22.8,Grocery,Tesco Breda
2022-01-16,Amazon Lux,Expense,24.11,Retail/E-commerce,Amazon Lux
2022-01-15,Classpass* Monthly,Expense,30.08,,
2022-01-14,Audible Uk AdblCo/Pymt Gbr,Expense,11.0,Entertainment (assuming audiobooks),Audible Uk AdblCo/Pymt Gbr
